Price,Close,High,Low,Open,Volume
Ticker,AIG,AIG,AIG,AIG,AIG
Date,,,,,
2000-02-29,694.7381591796875,706.5217043356457,674.1169551567606,691.3013397899009,373035
2000-03-01,703.9738159179688,708.3951449892506,688.744841535822,701.5175459767243,242490
2000-03-02,683.8322143554688,704.4650828920562,680.8846617073848,702.0088130058978,205358
2000-03-03,686.77978515625,699.0612788351309,673.0245151143729,698.56999606022,232238
2000-03-06,666.14697265625,684.814784185918,658.7780902153622,684.814784185918,282975
2000-03-07,640.1104125976562,668.6033826886948,624.8813617133027,668.1121717310353,384810
2000-03-08,652.3917846679688,669.0946109852476,617.512427318984,632.2501940807737,473355
2000-03-09,651.900390625,653.8653776667527,635.1975689997126,645.5140028349748,359018
2000-03-10,652.3917846679688,659.7606680488636,642.5666308140263,653.3743504265893,289605
2000-03-13,677.9370727539062,679.4108489990235,641.5839493615925,644.531501851827,320693
2000-03-14,674.0070190429688,681.8671109525139,670.5681838564615,681.8671109525139,294765
2000-03-15,718.7118530273438,718.7118530273438,670.5684976930463,678.919876241163,600645
2000-03-16,785.5230712890625,787.9793420838258,725.0982196514423,729.0282673154159,554700
2000-03-17,765.381103515625,795.347837217156,759.9772096651383,785.0314041811508,368903
2000-03-20,778.154052734375,781.5928888233549,765.3813460580553,774.2240057482187,185483
2000-03-21,789.9442138671875,796.8218136325145,772.750178472998,776.1889423747895,304035
2000-03-22,782.0841064453125,786.5054363284112,771.7676700514156,785.0316597007115,226043
2000-03-23,819.9111938476562,829.245065721771,782.5754904659212,783.5579843574706,323460
2000-03-24,845.9476318359375,851.8427372842716,823.3497036300781,825.3147627667682,274860
2000-03-27,818.4370727539062,844.4737616025776,815.4895203573876,840.0524330077998,215768
2000-03-28,819.9111938476562,832.6839022848314,799.7695293577061,804.6821427389699,247230
2000-03-29,836.613525390625,842.017418957095,812.5418975462483,819.4194952215385,250110
2000-03-30,854.298828125,873.4579168152687,830.2272005655535,835.6310221063376,370155
2000-03-31,860.6853637695312,868.0542453086539,849.3864360634543,856.2640348460576,296363
2000-04-03,924.549072265625,930.9353885991138,862.6504643575083,862.6504643575083,356798
2000-04-04,902.933837890625,934.3744316059414,869.5282565418066,916.6891111339046,476273
2000-04-05,863.6333618164062,901.4602825730988,860.1945246706084,897.0389513692605,225428
2000-04-06,873.9493408203125,873.9493408203124,846.9300848234464,863.632906780275,205290
2000-04-07,854.7904663085938,895.0737191678584,844.9653125221822,871.4932925110696,223118
2000-04-10,889.1785888671875,895.5649062758035,853.3166669593656,854.7904435862386,172185
2000-04-11,911.2852172851562,916.1977579537732,889.178568391137,891.1435558738847,269295
2000-04-12,908.82861328125,937.3216431936667,908.3374025328868,915.2150006655141,299618
2000-04-13,891.1434326171875,905.8811965081098,880.3357870716696,899.4948801298686,194700
2000-04-14,847.9127807617188,874.4407580883824,801.24314304587,872.4756987436037,457050
2000-04-17,798.78662109375,835.6310224357126,790.9264581535575,815.980651066092,353220
2000-04-18,826.7887573242188,830.2275937305255,786.5055021423228,796.8219393994877,272318
2000-04-19,825.31494140625,827.2800009682774,805.1733507520386,824.8236585253051,216578
2000-04-20,851.8427734375,857.7378791360294,820.8934685202205,824.8235149986604,197370
2000-04-24,879.3534545898438,879.8447375036754,850.8604848227441,851.8429786886506,200940
2000-04-25,903.9163818359375,916.1978061148155,864.6156226506241,876.4058360138679,229485
2000-04-26,896.0562744140625,911.7765359428465,893.1087208798057,907.8464885510896,150098
2000-04-27,869.0367431640625,898.0210586693191,867.0717560517203,886.2308481483291,235965
2000-04-28,862.1592407226562,873.4581697477286,846.9301931101085,869.0368403081252,179108
2000-05-01,865.107177734375,877.388677839384,858.2295750956924,864.124683632213,188580
2000-05-02,880.335693359375,887.704574520414,864.1241548050891,865.1066483059842,191865
2000-05-03,861.1765747070312,886.2307698506189,857.2464569061009,874.4405603712835,184200
2000-05-04,864.6156616210938,873.9496049416172,861.1768972096546,863.1418848842613,158985
2000-05-05,876.8970336914062,885.739692854681,861.6679855896296,862.6505512489341,171578
