Price,Close,High,Low,Open,Volume
Ticker,ALLE,ALLE,ALLE,ALLE,ALLE
Date,,,,,
2013-11-18,42.76502227783203,44.105840224456536,41.89172852579259,43.88531102333425,587100
2013-11-19,40.40094757080078,43.22372192022535,39.95988918385971,43.21490223309025,1682000
2013-11-20,39.38652038574219,40.57737683825257,38.8043233744024,40.55973409669574,1106900
2013-11-21,38.627899169921875,39.827578670934734,37.96631150671704,39.25420135015366,730200
2013-11-22,38.8043327331543,38.901362787605045,38.151564598153875,38.72494205950573,947600
2013-11-25,38.971927642822266,40.24217485645326,38.54851190494527,39.06013799300154,727300
2013-11-26,38.10744094848633,39.69525028696325,37.966302415399674,39.69525028696325,873700
2013-11-27,38.14272689819336,38.416180916638424,37.48995907140532,38.416180916638424,1153300
2013-11-29,38.14272689819336,38.68081524884672,37.71048824241359,37.71048824241359,949900
2013-12-02,38.05452346801758,38.52204435976829,36.62549499690534,38.00159860631539,5130700
2013-12-03,37.842811584472656,39.56293663057809,37.66638755371586,37.754597886590005,3239300
2013-12-04,36.89895248413086,37.587002606891986,36.740171168876905,37.42822129163803,2777700
2013-12-05,36.21089553833008,37.295898845611575,35.840408081457284,37.295898845611575,3380500
2013-12-06,35.902164459228516,36.219727134314105,35.84923622504442,35.94626963854385,4662300
2013-12-09,36.32556915283203,36.40495979737717,35.49638059370051,35.902153503594114,3074000
2013-12-10,37.54288864135742,37.78988024501501,36.202070829343775,36.22853325401903,3289400
2013-12-11,37.454673767089844,37.94866032380194,37.04890089818783,37.33117796916385,3367300
2013-12-12,37.90456771850586,38.0192405031328,37.048913170852266,37.05773286005079,1770500
2013-12-13,38.15155029296875,38.63671384334586,37.86045014373743,37.86045014373743,683800
2013-12-16,38.53969192504883,38.80432972671387,37.145948763990965,37.939852073957766,1953900
2013-12-17,38.59263229370117,38.813161621093755,38.07218294645427,38.31035502383951,1396700
2013-12-18,39.05131530761719,39.254201789469555,38.01923679166246,38.50440377544954,1225200
2013-12-19,39.21009826660156,39.25420344016173,38.654363657718086,38.77785948969018,593000
2013-12-20,39.04248809814453,39.21009244379614,38.73374856406295,39.0777735777563,2878600
2013-12-23,39.38652038574219,39.562941071292705,38.41618979016995,38.963101318396085,773600
2013-12-24,39.32477569580078,39.71290594683495,39.033675483768285,39.483553652807686,304700
2013-12-26,39.43061447143555,39.704068476164124,39.20126226068675,39.57175299920099,513200
2013-12-27,39.377716064453125,39.66881639110399,38.892552218378825,39.49239225661957,393300
2013-12-30,38.91899490356445,39.58940560126907,38.81314182261433,39.21009508243827,381500
2013-12-31,38.980735778808594,39.254193167332275,38.601425328440456,39.016021254426136,874200
2014-01-02,38.50440979003906,38.97193074016248,38.169204375700495,38.883720382972584,992900
2014-01-03,38.77785873413086,39.09542136159108,38.0809855644275,38.433833676051954,378400
2014-01-06,38.530860900878906,38.795495259688195,38.25740348993786,38.786675572564874,597800
2014-01-07,38.69846725463867,38.79550065152317,37.19004817127663,37.19004817127663,1371300
2014-01-08,38.707298278808594,39.13071407194388,38.28388248567331,38.830794131180184,1407100
2014-01-09,38.92780685424805,39.0336599050086,38.67199223031956,38.71609738771914,1093500
2014-01-10,40.339202880859375,40.64794579532997,38.83078388490211,38.963099392524896,2008600
2014-01-13,41.494781494140625,41.84762624968058,39.871686196631444,40.31274466481319,2278500
2014-01-14,42.16517639160156,42.24456702695114,41.38009308926024,41.600622258008165,2338200
2014-01-15,41.90053939819336,43.391315272747306,41.688829929051664,42.31513528588326,1733000
2014-01-16,41.81233215332031,42.05932374795334,41.49476960878749,41.706475728470636,1178700
2014-01-17,42.341617584228516,42.55332715275381,41.459500551223755,41.91820181218736,1572100
2014-01-21,42.49156951904297,43.55893352698825,42.2886830355516,43.55893352698825,1570400
2014-01-22,42.79148483276367,43.36486210339478,42.41217770151017,42.43864012892101,682200
2014-01-23,42.09461975097656,42.94145117152208,41.971123922773124,42.94145117152208,867600
2014-01-24,41.3183479309082,42.085788546835424,40.427411510694796,42.00639790622169,1417500
2014-01-27,41.10664367675781,42.3416086071361,39.87168211138824,39.87168211138824,717800
2014-01-28,42.10343933105469,42.23575821236579,41.256607912688644,41.256607912688644,721700
2014-01-29,42.147544860839844,42.765027370517025,41.574170888646655,41.76823432053853,800900
2014-01-30,43.59422302246094,43.779470160481466,42.19166014251214,42.26222775675036,1247100
2014-01-31,43.53246307373047,44.070554864331186,43.25018596472822,43.44425273904548,2011100
2014-02-03,41.847618103027344,44.05291001462253,41.635911963918915,43.53246098888574,1184800
