Price,Close,High,Low,Open,Volume
Ticker,AVY,AVY,AVY,AVY,AVY
Date,,,,,
2010-04-23,27.880443572998047,27.922988458942253,27.256465436828467,27.35573683736495,1375500
2010-04-26,27.86625099182129,28.185330748819265,27.781163958244505,27.79534558131864,1279100
2010-04-27,29.348209381103516,30.723797655803565,28.773868277012138,29.59638383405303,5653700
2010-04-28,28.554065704345703,30.489814038483637,28.376799343656845,29.532576772711803,2435900
2010-04-29,28.646236419677734,28.993676868205633,28.539875553060266,28.77386837767102,2506100
2010-04-30,27.674806594848633,28.922762532590944,27.674806594848633,28.71004356964143,2087500
2010-05-03,27.766983032226562,27.979701973942586,27.575535173221713,27.908796561659944,1989600
2010-05-04,27.050832748413086,27.561357745271707,26.816839983498646,27.46918123624648,1967200
2010-05-05,27.128828048706055,27.30609431398865,26.83811148183734,26.958653948761153,2280600
2010-05-06,25.87378692626953,27.377004194682936,24.43438292076701,26.95865567365412,1824200
2010-05-07,25.278165817260742,26.270855095586448,25.19307607822033,25.895051548529462,2822900
2010-05-10,26.72466468811035,26.88065988759278,26.093597133649837,26.121960388986444,2188100
2010-05-11,26.69629669189453,27.121734583810973,26.242492847684,26.511938288494093,1216700
2010-05-12,26.703393936157227,26.95865782767143,26.44104058315382,26.774299370524975,2131900
2010-05-13,26.18577766418457,26.760121441422775,26.178685497563027,26.53321809230707,1071900
2010-05-14,25.41998291015625,26.051053125146172,25.22853771225751,25.923421189967872,1024600
2010-05-17,25.767417907714844,25.958865750347154,25.299435194014034,25.56178844286519,2099600
2010-05-18,25.25690269470215,26.363045425479825,25.18599725376362,25.980149552725724,1480200
2010-05-19,25.122177124023438,25.398712084808572,24.774734029146767,25.16472200447836,1584800
2010-05-20,23.902591705322266,24.505298860766036,23.810415159619115,24.49820669271528,1965100
2010-05-21,24.18621253967285,24.413113169786012,23.356604913115657,23.519689571955187,1875000
2010-05-24,24.072763442993164,24.505293636309222,23.874223352943932,23.88131551948266,1098000
2010-05-25,23.852943420410156,23.852943420410156,23.08715471512689,23.42750555134923,1509800
2010-05-26,23.66859245300293,24.150756910046546,23.512597274292187,24.00894335711574,1272400
2010-05-27,24.562015533447266,24.569107699434248,23.860042573388455,24.129485373780323,1043500
2010-05-28,24.376588821411133,24.676124297675454,24.06991999347774,24.640465701059682,1341200
2010-06-01,23.570693969726562,24.37659139716557,23.56356333788056,24.126978473903268,1257500
2010-06-02,24.084184646606445,24.112712612923733,23.535033537593407,23.62061471596866,986000
2010-06-03,24.319534301757812,24.590544548803614,24.04139342320564,24.04139342320564,993800
2010-06-04,22.893163681030273,23.855961962550456,22.83611047948247,23.84169798201948,2027700
2010-06-07,22.336891174316406,22.943095631525118,22.315496555062072,22.900306393016447,1840100
2010-06-08,22.379684448242188,22.672090762460417,22.030224902333533,22.286971246384287,1770400
2010-06-09,22.586503982543945,22.85751290383671,22.34402167177691,22.50092143038972,2157600
2010-06-10,23.691926956176758,23.706190934714236,23.042930895888134,23.092853460481432,1212300
2010-06-11,24.283876419067383,24.291009771360766,23.31394727100187,23.44945375880844,2528200
2010-06-14,24.533493041992188,24.904345758813484,24.4621731190828,24.512095704830934,2736100
2010-06-15,25.367918014526367,25.38931263303264,24.57628448286879,24.804502815526114,2310300
2010-06-16,25.482017517089844,25.69597178274422,24.954263843180783,25.125426167473847,2325300
2010-06-17,25.111167907714844,25.54620988864752,24.8829496096152,25.539079257084218,917500
2010-06-18,25.096899032592773,25.239536121249074,24.94713131376294,25.1610855864593,830400
2010-06-21,24.640464782714844,25.396439517446233,24.46930243710771,25.396439517446233,1256600
2010-06-22,24.27674102783203,25.032712988114103,24.219685102978016,24.704649581932212,1251100
2010-06-23,24.212554931640625,24.33379469338932,23.642009275166185,24.098445800345736,1124500
2010-06-24,24.041399002075195,24.276750705049746,23.73473008518084,24.11984956973338,1301100
2010-06-25,24.51209259033203,24.633335083584516,23.891624303029705,24.155501182824125,1887300
2010-06-28,24.383718490600586,24.611936764630478,24.119841621361605,24.611936764630478,1028200
2010-06-29,23.09999656677246,23.970080683498537,22.935964805854418,23.9629473300889,1953200
2010-06-30,22.914562225341797,23.385262725481184,22.821847707269665,23.028671355055096,1623500
2010-07-01,22.90030288696289,23.085729240125055,22.301229154365192,22.87177491860662,2005000
2010-07-02,22.729137420654297,23.057202230237614,22.565104335718488,22.95735434862137,802000
2010-07-06,22.586503982543945,23.249762980512994,22.351153664480474,23.021544655153082,1413800
2010-07-07,23.863096237182617,23.863096237182617,22.77192740537962,22.77192740537962,1727600
2010-07-08,24.241085052490234,24.305271614593355,23.87022966262514,24.01999740067358,910200
2010-07-09,24.69038963317871,24.711786968781723,24.191161091476488,24.30527295982139,787900
2010-07-12,24.79023551940918,24.91147802276844,24.462172050092917,24.569150569493626,940200
2010-07-13,24.94000816345215,25.303730264063766,24.91148019304971,25.0469839715958,1218900
2010-07-14,24.875831604003906,25.068391400869075,24.669007816195606,24.797381014105717,683000
2010-07-15,24.72604751586914,24.825895397780094,24.291008272994706,24.825895397780094,500000
2010-07-16,23.93441390991211,24.611935341436176,23.884491335390887,24.611935341436176,814200
2010-07-19,24.155506134033203,24.23395669505738,23.784650667740706,24.012868997678076,522900
2010-07-20,24.569149017333984,24.597676983448817,23.64914251445505,23.720459709165542,677600
2010-07-21,24.26960563659668,24.811625994837364,24.055651377533678,24.811625994837364,574500
2010-07-22,25.06837272644043,25.38930276156406,24.554880317320922,24.62619749833149,841400
2010-07-23,26.487611770629883,26.544667706998766,24.882950288041705,25.018456776629407,2011800
2010-07-26,27.129474639892578,27.293506359085846,26.566059569244075,26.601718165490176,1427400
2010-07-27,27.036758422851562,27.329163246710824,26.69443102325362,27.329163246710824,1197800
2010-07-28,25.795822143554688,27.67862713568173,25.489156023779767,27.28637439529486,2712000
2010-07-29,25.817218780517578,26.259391369766345,25.482021982554375,26.038303714853676,2539200
2010-07-30,25.567602157592773,25.959854871995447,25.360781214316276,25.45349301901467,1748300
2010-08-02,26.33784294128418,26.437688105269174,26.009779482311576,26.10962464629657,1132300
2010-08-03,26.073959350585938,26.501867863633095,26.016903431205797,26.352100156124187,711400
2010-08-04,26.073959350585938,26.20233244861528,25.852871743851853,26.095353960065502,920900
2010-08-05,25.981246948242188,26.059697483462063,25.731634082157303,25.831479228591256,823500
2010-08-06,25.80295753479004,25.89567207353411,25.13969722026872,25.660320410701512,1001200
2010-08-09,26.00263214111328,26.07395202028795,25.817205896409565,25.931314982513822,565800
2010-08-10,25.71736717224121,26.059694515560242,25.496279572762386,25.788684348550053,1080500
2010-08-11,24.74031639099121,25.282336974805652,24.497834070985203,25.182491793728556,1386100
2010-08-12,24.562015533447266,24.825895137725706,24.22682145541838,24.291008018543327,859500
2010-08-13,24.348058700561523,24.626199538350246,24.319530737563632,24.433639868978908,550900
2010-08-16,24.369457244873047,24.504963730690747,24.07705237840178,24.134108313604333,663000
2010-08-17,24.861547470092773,25.01844852276702,24.383713682664784,24.533484105933788,701800
2010-08-18,24.882949829101562,25.075509529929796,24.683259496647132,24.861555213646227,518300
2010-08-19,24.283876419067383,24.78310497711014,23.991471548304407,24.711787777636932,688700
2010-08-20,24.112709045410156,24.305268708697426,23.791776273264713,24.055653121217098,597700
2010-08-23,23.79891014099121,24.46930373857579,23.75612091260178,24.184029519955555,882100
2010-08-24,23.342479705810547,23.54217007900945,23.064338765832854,23.44232489241,867300
2010-08-25,23.057205200195312,23.192708976120755,22.579371227215272,23.12138905149399,1962300
2010-08-26,22.935958862304688,23.399528773023874,22.78619112643904,23.206969089520975,802800
2010-08-27,23.527908325195312,23.53503895812864,22.800459979731635,23.149919485875273,875800
2010-08-30,23.240890502929688,23.52072789971351,23.233716378189182,23.341344672321746,712100
2010-08-31,23.334171295166016,23.527905515416517,22.975404828888255,23.14761119988587,1047400
2010-09-01,24.238265991210938,24.302844076365037,23.59248787684134,23.728818173423814,741300
2010-09-02,24.5898494720459,24.640076549251166,24.080401839152216,24.22390620992703,741400
2010-09-03,25.03472328186035,25.113652341452255,24.79076197819941,24.977322071265892,548600
2010-09-07,24.618549346923828,24.891209817938797,24.56832227399106,24.891209817938797,546200
2010-09-08,24.711828231811523,24.819459244873016,24.50374580355386,24.575497987481278,578100
2010-09-09,24.74770736694336,25.08494592017652,24.64725047616434,25.02036785897521,533500
2010-09-10,24.83380889892578,25.185398413376554,24.790755948573146,24.86251086582754,644000
2010-09-13,25.393491744995117,25.551349876618815,25.056250368224894,25.156707284730672,654200
2010-09-14,25.343259811401367,25.47959006627396,24.884039229545717,25.36478492081005,601700
2010-09-15,25.45088768005371,25.52263986064138,25.099295425965565,25.264327631053394,657900
2010-09-16,25.572877883911133,25.72355916996391,25.077781056664268,25.185409373628502,632100
